Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
L. de Liefde	https://www.dbnl.org/auteurs/auteur.php?id=lief033	lief033	L.	de Liefde	L. de Liefde	19xx-xx-xx						male		Twintigste Eeuw	nl					
Jaap Zijlstra	https://www.dbnl.org/auteurs/auteur.php?id=zijl005	zijl005	Jaap	Zijlstra	Jaap Zijlstra	1933-09-05	Wassenaar	Nederland	2015-12-22	Amsterdam	Nederland	male	herv./leraar/geref. predikant	20e/21e Eeuw				leraar/gereformeerd predikant	2.0/2.0	2.0
Govert A. den Hartogh	https://www.dbnl.org/auteurs/auteur.php?id=hart210	hart210	Govert A.	den Hartogh	Govert A. den Hartogh	19xx-xx-xx						male		Twintigste Eeuw	nl					
Gert Slings	https://www.dbnl.org/auteurs/auteur.php?id=slin018	slin018	Gert	Slings	Gert Slings	1938-01-19	Munnekezijl	Nederland				male	leraar/docent/hoogleraar	20e/21e Eeuw		secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
William Wordsworth	https://www.dbnl.org/auteurs/auteur.php?id=word001	word001	William	Wordsworth	William Wordsworth	1770-xx-xx			1850-xx-xx			male		18e/19e Eeuw	en					
Jan ter Horst	https://www.dbnl.org/auteurs/auteur.php?id=hors095	hors095	Jan	ter Horst	Jan ter Horst	19xx-xx-xx						male		Twintigste Eeuw	nl					
Tom Naastepad	https://www.dbnl.org/auteurs/auteur.php?id=naas001	naas001	Tom	Naastepad	Tom Naastepad	1921-01-17	Den Haag	Nederland	1996-03-26	Rotterdam	Nederland	male	theoloog	Twintigste Eeuw	nl	secundair		theoloog	2.0	2.0
Johan Schooneberg	https://www.dbnl.org/auteurs/auteur.php?id=scho575	scho575	Johan	Schooneberg	Johan Schooneberg	19xx-xx-xx						male		Twintigste Eeuw	nl	nonfictie				
Bert Jansma	https://www.dbnl.org/auteurs/auteur.php?id=jans024	jans024	Bert	Jansma	Bert Jansma	1942-xx-xx						male		Twintigste Eeuw	nl					
Rob Scherjon	https://www.dbnl.org/auteurs/auteur.php?id=sche051	sche051	Rob	Scherjon	Rob Scherjon	1938-xx-xx	Amsterdam	Nederland				male		20e/21e Eeuw						
Anton B. Lam	https://www.dbnl.org/auteurs/auteur.php?id=lam_001	lam_001	Antonie Bastiaan	Lam	Anton B. Lam	1926-11-17			1970-11-16	Haarlem	Nederland	male		Twintigste Eeuw						
Tom Etty	https://www.dbnl.org/auteurs/auteur.php?id=etty002	etty002	Tom	Etty	Tom Etty	19xx-xx-xx						male		Twintigste Eeuw	nl					
S.H. Haan	https://www.dbnl.org/auteurs/auteur.php?id=haan100	haan100	S.H.	Haan	S.H. Haan	19xx-xx-xx						male		Twintigste Eeuw	nl					
Frans van der Linde	https://www.dbnl.org/auteurs/auteur.php?id=lind199	lind199	Frans	van der Linde	Frans van der Linde	19xx-xx-xx						male		Twintigste Eeuw	nl					
Gerd Segers	https://www.dbnl.org/auteurs/auteur.php?id=sege002	sege002	Gerd	Segers	Gerd Segers	1938-xx-xx						male		20e/21e Eeuw		secundair				
Jan C. Brouwer	https://www.dbnl.org/auteurs/auteur.php?id=brou186	brou186	Jan C.	Brouwer	Jan C. Brouwer	19xx-xx-xx						male		Twintigste Eeuw	nl					
R.G.K. Kraan	https://www.dbnl.org/auteurs/auteur.php?id=kraa007	kraa007	Reyer Ghisbert Karel	Kraan	R.G.K. Kraan	1926-08-02	Vlaardingen	Nederland	2014-09-18	Oegstgeest	Nederland	male		Twintigste Eeuw	nl	secundair				
Marijke Baars	https://www.dbnl.org/auteurs/auteur.php?id=baar067	baar067	Marijke	Baars	Marijke Baars	19xx-xx-xx						female		Twintigste Eeuw	nl					
W.N. Visserman	https://www.dbnl.org/auteurs/auteur.php?id=viss234	viss234	W.N.	Visserman	W.N. Visserman	19xx-xx-xx						male		Twintigste Eeuw	nl					
Murk A. J. Popma	https://www.dbnl.org/auteurs/auteur.php?id=popm003	popm003	Murk A. J.	Popma	Murk A. J. Popma	1940-xx-xx						male		Twintigste Eeuw	nl	secundair				
Cees van Dop	https://www.dbnl.org/auteurs/auteur.php?id=dop_004	dop_004	Cees	van Dop	Cees van Dop	19xx-xx-xx						male		Twintigste Eeuw	nl					
Nelleke Groenewegen	https://www.dbnl.org/auteurs/auteur.php?id=groe205	groe205	Nelleke	Groenewegen	Nelleke Groenewegen	19xx-xx-xx						female		Twintigste Eeuw	nl					
Dick Zaal	https://www.dbnl.org/auteurs/auteur.php?id=zaal011	zaal011	Dick	Zaal	Dick Zaal	19xx-xx-xx						male		Twintigste Eeuw	nl					
Jan J. Abels	https://www.dbnl.org/auteurs/auteur.php?id=abel026	abel026	Jan J.	Abels	Jan J. Abels	19xx-xx-xx						male		Twintigste Eeuw	nl					
Mei Hwa Tan	https://www.dbnl.org/auteurs/auteur.php?id=tan_003	tan_003	Mei Hwa	Tan	Mei Hwa Tan	19xx-xx-xx	China	China				male		20e/21e Eeuw	zh					
Kees Ouboter	https://www.dbnl.org/auteurs/auteur.php?id=oubo005	oubo005	Kees	Ouboter	Kees Ouboter	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Jan van Royen	https://www.dbnl.org/auteurs/auteur.php?id=roye042	roye042	Jan	van Royen	Jan van Royen	19xx-xx-xx						male		Twintigste Eeuw	nl					
John Keats	https://www.dbnl.org/auteurs/auteur.php?id=keat002	keat002	John	Keats	John Keats	1795-10-31	Londen	Groot-Brittannië (en Noord-Ierland)	1821-02-23	Rome	Italië	male		Negentiende Eeuw	en					
Marie-Sophie Nathusius	https://www.dbnl.org/auteurs/auteur.php?id=nath001	nath001	Marie-Sophie	Nathusius	Marie-Sophie Nathusius	1906-06-19	Amsterdam	Nederland	2002-01-23	Haarlem	Nederland	female		Twintigste Eeuw	nl					
Jan D. 't Lam	https://www.dbnl.org/auteurs/auteur.php?id=lam_003	lam_003	Jan D.	't Lam	Jan D. 't Lam	1937-04-30	Rotterdam	Nederland				male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Sifra Hugorina	https://www.dbnl.org/auteurs/auteur.php?id=hugo013	hugo013	Sifra	Hugorina	Sifra Hugorina	19xx-xx-xx						female		Twintigste Eeuw	nl					
Jan Donia	https://www.dbnl.org/auteurs/auteur.php?id=doni019	doni019	Jan	Donia	Jan Donia	1938-xx-xx						male		20e/21e Eeuw		nonfictie				
Paul Wessel	https://www.dbnl.org/auteurs/auteur.php?id=wess066	wess066	Paul	Wessel	Paul Wessel	19xx-xx-xx						male		Twintigste Eeuw	nl					
Wim Bazuynen	https://www.dbnl.org/auteurs/auteur.php?id=bazu001	bazu001	Wim	Bazuynen	Wim Bazuynen	19xx-xx-xx						male		Twintigste Eeuw	nl					
Hans Dullaart	https://www.dbnl.org/auteurs/auteur.php?id=dull012	dull012	Hans	Dullaart	Hans Dullaart	19xx-xx-xx						male		Twintigste Eeuw	nl					
Eric Heidbuchel	https://www.dbnl.org/auteurs/auteur.php?id=heid001	heid001	Eric Théophile Pieter	Heidbuchel	Eric Heidbuchel	1938-xx-xx						male		20e/21e Eeuw	nl	secundair				
Hans Bouma	https://www.dbnl.org/auteurs/auteur.php?id=boum001	boum001	Hans	Bouma	Hans Bouma	1941-xx-xx						male	herv./leraar/geref. predikant	20e/21e Eeuw				leraar/gereformeerd predikant	2.0/2.0	2.0
Anno van Workum	https://www.dbnl.org/auteurs/auteur.php?id=work001	work001	Anno	van Workum	Anno van Workum	19xx-xx-xx						male		Twintigste Eeuw	nl					
Jan Sizoo	https://www.dbnl.org/auteurs/auteur.php?id=sizo001	sizo001	Jan	Sizoo	Jan Sizoo	1937-xx-xx						male		20e/21e Eeuw	nl					
Frans Vanderlinde	https://www.dbnl.org/auteurs/auteur.php?id=vand025	vand025	Frans	Vanderlinde	Frans Vanderlinde	19xx-xx-xx						male		Twintigste Eeuw	nl	nonfictie				
Maja Burghout	https://www.dbnl.org/auteurs/auteur.php?id=burg132	burg132	Maja	Burghout	Maja Burghout	19xx-xx-xx						female		Twintigste Eeuw	nl					
Teije Brattinga	https://www.dbnl.org/auteurs/auteur.php?id=brat002	brat002	Teije Auke	Brattinga	Teije Brattinga	1929-02-24	Blauwhuis	Nederland				male	theoloog	20e/21e Eeuw	fy	fries		theoloog	2.0	2.0
Roel van Heerde	https://www.dbnl.org/auteurs/auteur.php?id=heer112	heer112	Roel	van Heerde	Roel van Heerde	19xx-xx-xx						male		20e/21e Eeuw						
Jo Datema	https://www.dbnl.org/auteurs/auteur.php?id=date001	date001	Jo	Datema	Jo Datema	19xx-xx-xx						male		Twintigste Eeuw	nl					
William Blake	https://www.dbnl.org/auteurs/auteur.php?id=blak002	blak002	William	Blake	William Blake	1757-11-28	Londen	Groot-Brittannië (en Noord-Ierland)	1827-08-12	Londen	Groot-Brittannië (en Noord-Ierland)	male		18e/19e Eeuw	en	buitenland				
William Butler Yeats	https://www.dbnl.org/auteurs/auteur.php?id=yeat001	yeat001	William Butler	Yeats	Ganconagh/William Butler Yeats	1865-xx-xx			1939-xx-xx			male		19e/20e Eeuw	en	buitenland				
G. Tuil	https://www.dbnl.org/auteurs/auteur.php?id=tuil001	tuil001	G.	Tuil	G. Tuil	19xx-xx-xx						male	vertaler	Twintigste Eeuw	nl	secundair		vertaler	4.0	4.0
Arnold van Dijk	https://www.dbnl.org/auteurs/auteur.php?id=dijk203	dijk203	Arnold	van Dijk	Arnold van Dijk	19xx-xx-xx						male		Twintigste Eeuw	nl					
A. de Kool	https://www.dbnl.org/auteurs/auteur.php?id=kool001	kool001	A.	de Kool	A. de Kool	19xx-xx-xx						male		Twintigste Eeuw	nl					
P. van Amstel	https://www.dbnl.org/auteurs/auteur.php?id=amst005	amst005	P.	van Amstel	P. van Amstel	16xx-xx-xx						male		Periode 1550-1700	nl					
Albert Nap	https://www.dbnl.org/auteurs/auteur.php?id=nap_005	nap_005	Albert	Nap	Albert Nap	19xx-xx-xx						male		Twintigste Eeuw	nl					
J.F.M.J. Jansen	https://www.dbnl.org/auteurs/auteur.php?id=jans469	jans469	J.F.M.J.	Jansen	J.F.M.J. Jansen	19xx-xx-xx						male		Twintigste Eeuw	nl	nonfictie				
D.J. Sikkens	https://www.dbnl.org/auteurs/auteur.php?id=sikk019	sikk019	D.J.	Sikkens	D.J. Sikkens	19xx-xx-xx						male		Twintigste Eeuw	nl					
A.J. van Dulst	https://www.dbnl.org/auteurs/auteur.php?id=duls001	duls001	A.J.	van Dulst	A.J. van Dulst	19xx-xx-xx						male		Twintigste Eeuw	nl	nonfictie				
Peter van Amstel	https://www.dbnl.org/auteurs/auteur.php?id=amst055	amst055	Peter	van Amstel	Peter van Amstel	19xx-xx-xx						male		Twintigste Eeuw	nl					
Pierre de Ronsard	https://www.dbnl.org/auteurs/auteur.php?id=rons013	rons013	Pierre	de Ronsard	Pierre de Ronsard	1524-09-xx	Couture-sur-Loir	Frankrijk	1585-12-28	Saint-Cosme-en-l'Isle	Frankrijk	male		Periode 1550-1700	fr	nonfictie				
Philippe Desportes	https://www.dbnl.org/auteurs/auteur.php?id=desp015	desp015	Philippe	Desportes	Philippe Desportes	1546-xx-xx	Chartres	Frankrijk	1606-xx-xx		Frankrijk	male		Middeleeuwen/Gouden Eeuw	fr					
Alexander West	https://www.dbnl.org/auteurs/auteur.php?id=west002	west002	Alexander	West	Alexander West	19xx-xx-xx						male		Twintigste Eeuw	nl	secundair				
Frederice van Faassen	https://www.dbnl.org/auteurs/auteur.php?id=faas001	faas001	Frederice	van Faassen	Frederice van Faassen	19xx-xx-xx		Nederland			Nederland	female								
J. Deschamps	https://www.dbnl.org/auteurs/auteur.php?id=desc001	desc001	Jan Paul Albert (Jan)	Deschamps	J. Deschamps	1917-01-01	Leuven	België (Vlaanderen)	2004-03-xx	Leuven	België (Vlaanderen)	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Bert Verm	https://www.dbnl.org/auteurs/auteur.php?id=verm001	verm001	Bert	Verm	Bert Verm/Bert Verminnen	1941-xx-xx						male		Twintigste Eeuw						
Emiel Willekens	https://www.dbnl.org/auteurs/auteur.php?id=will008	will008	Emiel Victor	Willekens	Emiel Willekens	1922-02-23			2009-08-16	Antwerpen	België (Vlaanderen)	male		Twintigste Eeuw	nl	secundair				
J. Noë	https://www.dbnl.org/auteurs/auteur.php?id=noe_002	noe_002	Joris C.M.C.	Noë	J. Noë	1913-xx-xx			1982-xx-xx			male		Twintigste Eeuw		secundair				
Aloïs Gerlo	https://www.dbnl.org/auteurs/auteur.php?id=gerl002	gerl002	Aloïs Joseph Pieter	Gerlo	Aloïs Gerlo	1915-01-29	Baasrode	Nederland		Baasrode	België (Vlaanderen)	male	journalist/leraar/hoogleraar/redacteur/docent	Twintigste Eeuw	nl	secundair		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
Cola Minis	https://www.dbnl.org/auteurs/auteur.php?id=mini001	mini001	Cola	Minis	Cola Minis/Nicolaas Th.J.P. Minis	1912-xx-xx			1988-xx-xx			male		Twintigste Eeuw		secundair				
Albert Deblaere	https://www.dbnl.org/auteurs/auteur.php?id=debl001	debl001	Albert	Deblaere	Albert Deblaere	1916-xx-xx						male		Twintigste Eeuw		nonfictie				
D. Geeraerts	https://www.dbnl.org/auteurs/auteur.php?id=geer099	geer099	D.	Geeraerts	D. Geeraerts	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Karel Deleu	https://www.dbnl.org/auteurs/auteur.php?id=dele008	dele008	Karel	Deleu	Karel Deleu	19xx-xx-xx						male		Twintigste Eeuw		taalkunde				
Willem van Eeghem	https://www.dbnl.org/auteurs/auteur.php?id=eegh002	eegh002	Willem Benoit Leopold	van Eeghem	Willem van Eeghem	1888-10-10	Brugge	België (Vlaanderen)	1974-10-03	Schaarbeek	België (Brussel)	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Lucie Roobrouck	https://www.dbnl.org/auteurs/auteur.php?id=roob006	roob006	Lucie	Roobrouck	Lucie Roobrouck	1979-09-04	Kortrijk	België (Vlaanderen)				female		20e/21e Eeuw	nl	secundair				
Willem de Jong	https://www.dbnl.org/auteurs/auteur.php?id=jong066	jong066	Willem	de Jong	Willem de Jong	1812-03-11	Loenen aan de Vecht	Nederland	1875-01-24			male		Negentiende Eeuw	nl					
Felisberto Hérnandez	https://www.dbnl.org/auteurs/auteur.php?id=hern002	hern002	Felisberto	Hérnandez	Felisberto Hérnandez	1902-xx-xx	Montevideo	Uruguay	1964-xx-xx			male	jongleur/musicus/minstreel	Twintigste Eeuw	sp	buitenland		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
Johann Damiaan Degreef	https://www.dbnl.org/auteurs/auteur.php?id=degr002	degr002	Johann Damiaan	Degreef	Jo Smit/Johann Damiaan Degreef	1894-03-31	Nijmegen	Nederland	1966-xx-xx			male		Twintigste Eeuw		jeugdliteratuur				
Maria-Augusta Jacobs	https://www.dbnl.org/auteurs/auteur.php?id=jaco016	jaco016	Maria-Augusta	Jacobs	Maria-Augusta Jacobs	1908-xx-xx						female		Twintigste Eeuw		secundair				
Hugo Dyserinck	https://www.dbnl.org/auteurs/auteur.php?id=dyse006	dyse006	Hugo	Dyserinck	Hugo Dyserinck	1927-08-05	Brugge	België (Vlaanderen)		Lanaken	België (Vlaanderen)	male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
J. Donkers	https://www.dbnl.org/auteurs/auteur.php?id=donk039	donk039	J.	Donkers	J. Donkers	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Gilbert De Smet	https://www.dbnl.org/auteurs/auteur.php?id=smet005	smet005	Gilbert Antonius Remigius Johannes Karel	De Smet	Gilbert De Smet	1921-xx-xx	Bevere	België (Vlaanderen)				male	letterkundige (NIET-neerl.)	20e/21e Eeuw		taalkunde		letterkundige	2.0	2.0
Carlos Tindemans	https://www.dbnl.org/auteurs/auteur.php?id=tind001	tind001	Carlos	Tindemans	Carlos Tindemans	1931-xx-xx	Zwijndrecht	België (Vlaanderen)				male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	secundair/nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Lieve Scheer	https://www.dbnl.org/auteurs/auteur.php?id=sche010	sche010	Godelieve	Scheer	Lieve Scheer	1936-xx-xx						female		Twintigste Eeuw	nl	secundair				
H. Vandermoere	https://www.dbnl.org/auteurs/auteur.php?id=vand120	vand120	H.	Vandermoere	H. Vandermoere	1933-10-24	Brugge	België (Vlaanderen)	2009-10-31	Kortrijk	België (Vlaanderen)	male	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Nico de Vrede	https://www.dbnl.org/auteurs/auteur.php?id=vred037	vred037	Nico	de Vrede	Nico de Vrede	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Piet Thomas	https://www.dbnl.org/auteurs/auteur.php?id=thom004	thom004	Piet	Thomas	Piet Thomas	1929-04-20	Aalst	Nederland				male	leraar/docent/hoogleraar/vertaler	20e/21e Eeuw	nl			hoogleraar/vertaler/leraar/docent	2.0/4.0/2.0/2.0	2.0
I. Demarre	https://www.dbnl.org/auteurs/auteur.php?id=dema008	dema008	I.	Demarre	I. Demarre	19xx-xx-xx						male		Twintigste Eeuw		secundair				
K. Leus	https://www.dbnl.org/auteurs/auteur.php?id=leus008	leus008	K.	Leus	K. Leus	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl	secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
E. van der Heijden	https://www.dbnl.org/auteurs/auteur.php?id=heij040	heij040	Eugenie	van der Heijden	E. van der Heijden	1920-06-14	Hilvarenbeek	Nederland	2003-04-23	Maastricht	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Colijn Caillieu	https://www.dbnl.org/auteurs/auteur.php?id=cail002	cail002	Colijn	Caillieu	Colijn Caillieu		Brussel	België (Brussel)	ca. 1484-xx-xx	Brussel	België (Brussel)	male		Middeleeuwen	nl					
Herman Servotte	https://www.dbnl.org/auteurs/auteur.php?id=serv002	serv002	Herman Jozef Maria Arthur	Servotte	Herman Servotte	1929-05-19	Gent	België (Vlaanderen)	2004-01-24	Leuven	België (Vlaanderen)	male	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Twintigste Eeuw	nl	secundair		letterkundige/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0	2.0
A. van Branteghem	https://www.dbnl.org/auteurs/auteur.php?id=bran165	bran165	A.	van Branteghem	A. van Branteghem	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Prosper Arents	https://www.dbnl.org/auteurs/auteur.php?id=aren008	aren008	Prosper	Arents	Prosper Arents	1889-01-23	Borgerhout	België (Vlaanderen)	1984-03-04	Mortsel	België (Vlaanderen)	male	archivaris/bibliothecaris	Twintigste Eeuw	nl			archivaris/bibliothecaris	4.0/4.0	4.0
F.H.M. Hertoghs	https://www.dbnl.org/auteurs/auteur.php?id=hert066	hert066	F.H.M.	Hertoghs	F.H.M. Hertoghs	19xx-xx-xx						male		Twintigste Eeuw		secundair				
W.A.F. Janssen	https://www.dbnl.org/auteurs/auteur.php?id=jans114	jans114	Willem Adriaan Franciscus	Janssen	W.A.F. Janssen	1909-09-22	Venray	Nederland	1965-02-24	Maastricht	Nederland	male		Twintigste Eeuw	nl	secundair				
Koen Wauters	https://www.dbnl.org/auteurs/auteur.php?id=waut005	waut005	Koen	Wauters	Koen Wauters	19xx-xx-xx						male		20e/21e Eeuw		secundair				
P.H. King	https://www.dbnl.org/auteurs/auteur.php?id=king014	king014	P.H.	King	P.H. King	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Louis Gillet	https://www.dbnl.org/auteurs/auteur.php?id=gill002	gill002	Louis	Gillet	Louis Gillet	1931-xx-xx						male		Twintigste Eeuw		secundair				
Clem Neutjens	https://www.dbnl.org/auteurs/auteur.php?id=neut002	neut002	Clement Louis	Neutjens	Clem Neutjens	1928-08-09	Mechelen	België (Vlaanderen)		Brasschaat	België (Vlaanderen)	male	leraar/docent/hoogleraar	20e/21e Eeuw		secundair/taalkunde		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Jan Persyn	https://www.dbnl.org/auteurs/auteur.php?id=pers010	pers010	Jan	Persyn	Jan Persyn	1924-xx-xx						male	letterkundige (NIET-neerl.)	Twintigste Eeuw	nl	secundair		letterkundige	2.0	2.0
G. van Gorp	https://www.dbnl.org/auteurs/auteur.php?id=gorp004	gorp004	Gerardus	van Gorp	G. van Gorp	1782-11-22	Alphen	Nederland	1850-01-31	Rijsbergen	Nederland	male	rk-geestelijke/kloosterling	18e/19e Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Bert Kooijman	https://www.dbnl.org/auteurs/auteur.php?id=kooi007	kooi007	Bert	Kooijman	Ben Marée/Bert Kooijman	1932-xx-xx						male		20e/21e Eeuw						
D. Kuijper Fzn.	https://www.dbnl.org/auteurs/auteur.php?id=kuij003	kuij003	Dirk	Kuijper Fzn.	D. Kuijper Fzn.	1907-10-21	Hilversum	Nederland	1988-09-26	Velp	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Jef Barthels	https://www.dbnl.org/auteurs/auteur.php?id=bart045	bart045	Jef	Barthels	Jef Barthels	19xx-xx-xx						male		Twintigste Eeuw		secundair				
P.S.N. Oost	https://www.dbnl.org/auteurs/auteur.php?id=oost149	oost149	P.S.N.	Oost	P.S.N. Oost	19xx-xx-xx						male		Twintigste Eeuw		secundair/buitenland				
J.P.M. Passage	https://www.dbnl.org/auteurs/auteur.php?id=pass001	pass001	Jozef Petrus Maria	Passage	J.P.M. Passage	1927-xx-xx						male		20e/21e Eeuw		secundair				
Marc Joye	https://www.dbnl.org/auteurs/auteur.php?id=joye001	joye001	Marc	Joye	Marc Joye	19xx-xx-xx						male		Twintigste Eeuw		secundair				
P.Th. Elsinga	https://www.dbnl.org/auteurs/auteur.php?id=elsi002	elsi002	P.Th.	Elsinga	P.Th. Elsinga	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Gust Faes	https://www.dbnl.org/auteurs/auteur.php?id=faes001	faes001	Gust	Faes	Gust Faes	19xx-xx-xx						male		Twintigste Eeuw		secundair				
J. Goffard	https://www.dbnl.org/auteurs/auteur.php?id=goff006	goff006	Jules	Goffard	J. Goffard	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Louis Dieltjens	https://www.dbnl.org/auteurs/auteur.php?id=diel004	diel004	Louis	Dieltjens	Louis Dieltjens	1939-xx-xx						male	letterkundige (NIET-neerl.)	Twintigste Eeuw		taalkunde		letterkundige	2.0	2.0
L. Macken	https://www.dbnl.org/auteurs/auteur.php?id=mack019	mack019	Godelieve	Macken	L. Macken	19xx-xx-xx						female		Twintigste Eeuw	nl	secundair				
C.L. Hap	https://www.dbnl.org/auteurs/auteur.php?id=hap_001	hap_001	C.L.	Hap	C.L. Hap	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Sonja Vanderlinden	https://www.dbnl.org/auteurs/auteur.php?id=vand026	vand026	Sonja	Vanderlinden	Sonja Vanderlinden	1946-xx-xx						female		20e/21e Eeuw		secundair				
Irene Veenstra	https://www.dbnl.org/auteurs/auteur.php?id=veen042	veen042	Irene	Veenstra	Irene Veenstra	1955-xx-xx	Utrecht	Nederland				female	kunsthistoricus/kunsthandelaar	20e/21e Eeuw		secundair/nonfictie		kunsthandelaar	4.0	4.0
Hugo De Schampheleire	https://www.dbnl.org/auteurs/auteur.php?id=scha080	scha080	Hugo	De Schampheleire	Hugo De Schampheleire	19xx-xx-xx						male		20e/21e Eeuw		secundair				
F. Steyaert	https://www.dbnl.org/auteurs/auteur.php?id=stey021	stey021	F.	Steyaert	F. Steyaert	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Jan Schoolmeesters	https://www.dbnl.org/auteurs/auteur.php?id=scho527	scho527	Jan Marie Louis	Schoolmeesters	Jan Schoolmeesters	1951-xx-xx						male		Twintigste Eeuw		taalkunde				
Michel Dupuis	https://www.dbnl.org/auteurs/auteur.php?id=dupu002	dupu002	Michel	Dupuis	Michel Dupuis	1944-12-28						male		20e/21e Eeuw		secundair				
Jan de Piere	https://www.dbnl.org/auteurs/auteur.php?id=pier001	pier001	Jan	de Piere	Jan de Piere	1941-xx-xx						male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Amand Berteloot	https://www.dbnl.org/auteurs/auteur.php?id=bert004	bert004	Amand	Berteloot	Amand Berteloot	1950-xx-xx	Roeselare	België (Vlaanderen)				male		20e/21e Eeuw		secundair/taalkunde				
Joannes Smeyers	https://www.dbnl.org/auteurs/auteur.php?id=smey003	smey003	Joannes	Smeyers	Joannes Meyers/Joannes Smeyers	1542-xx-xx			ca. 1580-08-15			male	rk-geestelijke/kloosterling	Periode 1550-1700		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
A. Wylleman	https://www.dbnl.org/auteurs/auteur.php?id=wyll002	wyll002	A.	Wylleman	A. Wylleman	19xx-xx-xx						male		Twintigste Eeuw	nl	secundair				
Rolf Italiaander	https://www.dbnl.org/auteurs/auteur.php?id=ital001	ital001	Rolf Bruno Maximilian	Italiaander	Rolf Italiaander	1913-02-20	Leipzig	Duitsland	1991-09-03	Hamburg	Duitsland	male	archeoloog/historicus	Twintigste Eeuw	de	jeugdliteratuur/buitenland		antropoloog/oudheidkundige	2.0/2.0	2.0
C. Angelet	https://www.dbnl.org/auteurs/auteur.php?id=ange021	ange021	C.	Angelet	C. Angelet	19xx-xx-xx						male		Twintigste Eeuw	nl	secundair				
M.S.J. Cox-Andrau	https://www.dbnl.org/auteurs/auteur.php?id=cox_005	cox_005	Margaretha Sara Josephine	Cox-Andrau	M.S.J. Cox-Andrau	1907-04-11	Utrecht	Nederland				female		Twintigste Eeuw		secundair				
Lieven D' Hulst	https://www.dbnl.org/auteurs/auteur.php?id=huls058	huls058	Lieven	D' Hulst	Lieven D' Hulst	1954-xx-xx						male		20e/21e Eeuw		secundair				
Beatrijs De Groote	https://www.dbnl.org/auteurs/auteur.php?id=groo072	groo072	Beatrijs	De Groote	Beatrijs De Groote	19xx-xx-xx						female		20e/21e Eeuw		secundair				
Karel Wauters	https://www.dbnl.org/auteurs/auteur.php?id=waut003	waut003	Karel	Wauters	Karel Wauters	1943-xx-xx	Turnhout	België (Vlaanderen)		Edegem	België (Vlaanderen)	male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
A.J. Hanou	https://www.dbnl.org/auteurs/auteur.php?id=hano001	hano001	Andreas Joannes Antonius Maria (André)	Hanou	A.J. Hanou	1941-04-13	Monnickendam	Nederland		Zoeterwoude	Nederland	male		20e/21e Eeuw	nl	secundair				
Els Rauschenberg	https://www.dbnl.org/auteurs/auteur.php?id=raus003	raus003	Els	Rauschenberg	Els Rauschenberg	19xx-xx-xx						female		Twintigste Eeuw		secundair				
